"clinical_id","alias_code","sample_alias","run_accession","sample_accession","experiment_accession"
"KTN126","OPcell","KTN126OPcell145","SRR5959723","SAMN07544817","SRX3118220"
"KTN126","OPcell","KTN126OPcell69","SRR5959726","SAMN07544741","SRX3118217"
"KTN126","OPcell","KTN126OPcell68","SRR5959729","SAMN07544740","SRX3118214"
"KTN126","0cell","KTN1260cell247","SRR5959737","SAMN07544665","SRX3118206"
"KTN126","0cell","KTN1260cell244","SRR5959740","SAMN07544662","SRX3118203"
"KTN126","OPcell","KTN126OPcell218","SRR5959751","SAMN07544890","SRX3118192"
"KTN126","0cell","KTN1260cell61","SRR5959760","SAMN07544479","SRX3118183"
"KTN126","0cell","KTN1260cell151","SRR5959771","SAMN07544569","SRX3118172"
"KTN126","OPcell","KTN126OPcell44","SRR5959779","SAMN07544716","SRX3118164"
"KTN126","OPcell","KTN126OPcell230","SRR5959788","SAMN07544902","SRX3118155"
"KTN126","OPcell","KTN126OPcell229","SRR5959789","SAMN07544901","SRX3118154"
"KTN126","OPcell","KTN126OPcell227","SRR5959791","SAMN07544899","SRX3118152"
"KTN126","0cell","KTN1260cell206","SRR5959802","SAMN07544624","SRX3118141"
"KTN126","OPcell","KTN126OPcell178","SRR5959811","SAMN07544850","SRX3118132"
"KTN126","OPcell","KTN126OPcell117","SRR5959821","SAMN07544789","SRX3118122"
"KTN126","OPcell","KTN126OPcell22","SRR5959825","SAMN07544694","SRX3118118"
"KTN126","0cell","KTN1260cell59","SRR5959833","SAMN07544477","SRX3118110"
"KTN126","0cell","KTN1260cell112","SRR5959842","SAMN07544530","SRX3118101"
"KTN126","0cell","KTN1260cell29","SRR5959852","SAMN07544447","SRX3118091"
"KTN126","0cell","KTN1260cell22","SRR5959857","SAMN07544440","SRX3118086"
"KTN126","0cell","KTN1260cell86","SRR5959863","SAMN07544504","SRX3118080"
"KTN126","0cell","KTN1260cell9","SRR5959865","SAMN07544427","SRX3118078"
"KTN126","0cell","KTN1260cell162","SRR5959880","SAMN07544580","SRX3118063"
"KTN126","0cell","KTN1260cell164","SRR5959882","SAMN07544582","SRX3118061"
"KTN126","0cell","KTN1260cell84","SRR5959886","SAMN07544502","SRX3118057"
"KTN126","OPcell","KTN126OPcell82","SRR5959893","SAMN07544754","SRX3118050"
"KTN126","0cell","KTN1260cell232","SRR5959898","SAMN07544650","SRX3118045"
"KTN126","0cell","KTN1260cell238","SRR5959904","SAMN07544656","SRX3118039"
"KTN126","OPcell","KTN126OPcell212","SRR5959907","SAMN07544884","SRX3118036"
"KTN126","OPcell","KTN126OPcell213","SRR5959910","SAMN07544885","SRX3118033"
"KTN126","0cell","KTN1260cell11","SRR5959920","SAMN07544429","SRX3118023"
"KTN126","0cell","KTN1260cell17","SRR5959922","SAMN07544435","SRX3118021"
"KTN126","0cell","KTN1260cell15","SRR5959924","SAMN07544433","SRX3118019"
"KTN126","OPcell","KTN126OPcell92","SRR5959930","SAMN07544764","SRX3118013"
"KTN126","OPcell","KTN126OPcell89","SRR5959935","SAMN07544761","SRX3118008"
"KTN126","0cell","KTN1260cell122","SRR5959941","SAMN07544540","SRX3118002"
"KTN126","OPcell","KTN126OPcell29","SRR5959951","SAMN07544701","SRX3117992"
"KTN126","OPcell","KTN126OPcell10","SRR5959976","SAMN07544682","SRX3117967"
"KTN126","OPcell","KTN126OPcell8","SRR5959978","SAMN07544680","SRX3117965"
"KTN126","OPcell","KTN126OPcell204","SRR5959989","SAMN07544876","SRX3117954"
"KTN126","OPcell","KTN126OPcell198","SRR5959991","SAMN07544870","SRX3117952"
"KTN126","0cell","KTN1260cell50","SRR5959995","SAMN07544468","SRX3117948"
"KTN126","0cell","KTN1260cell47","SRR5960002","SAMN07544465","SRX3117941"
"KTN126","0cell","KTN1260cell48","SRR5960003","SAMN07544466","SRX3117940"
"KTN126","0cell","KTN1260cell179","SRR5960013","SAMN07544597","SRX3117930"
"KTN126","0cell","KTN1260cell99","SRR5960015","SAMN07544517","SRX3117928"
"KTN126","0cell","KTN1260cell91","SRR5960020","SAMN07544509","SRX3117923"
"KTN126","0cell","KTN1260cell97","SRR5960022","SAMN07544515","SRX3117921"
"KTN126","OPcell","KTN126OPcell163","SRR5960039","SAMN07544835","SRX3117904"
"KTN126","OPcell","KTN126OPcell165","SRR5960041","SAMN07544837","SRX3117902"
"KTN126","OPcell","KTN126OPcell49","SRR5960043","SAMN07544721","SRX3117900"
"KTN126","OPcell","KTN126OPcell104","SRR5960051","SAMN07544776","SRX3117892"
"KTN126","OPcell","KTN126OPcell103","SRR5960052","SAMN07544775","SRX3117891"
"KTN126","OPcell","KTN126OPcell102","SRR5960053","SAMN07544774","SRX3117890"
"KTN126","0cell","KTN1260cell132","SRR5960063","SAMN07544550","SRX3118378"
"KTN126","0cell","KTN1260cell139","SRR5960066","SAMN07544557","SRX3118375"
"KTN126","0cell","KTN1260cell189","SRR5960067","SAMN07544607","SRX3118374"
"KTN126","0cell","KTN1260cell184","SRR5960070","SAMN07544602","SRX3118371"
"KTN126","0cell","KTN1260cell182","SRR5960072","SAMN07544600","SRX3118369"
"KTN126","0cell","KTN1260cell188","SRR5960074","SAMN07544606","SRX3118367"
"KTN126","0cell","KTN1260cell185","SRR5960075","SAMN07544603","SRX3118366"
"KTN126","OPcell","KTN126OPcell136","SRR5960078","SAMN07544808","SRX3118363"
"KTN126","OPcell","KTN126OPcell127","SRR5960079","SAMN07544799","SRX3118362"
"KTN126","OPcell","KTN126OPcell131","SRR5960083","SAMN07544803","SRX3118358"
"KTN126","OPcell","KTN126OPcell133","SRR5960085","SAMN07544805","SRX3118356"
"KTN126","OPcell","KTN126OPcell64","SRR5960089","SAMN07544736","SRX3118352"
"KTN126","0cell","KTN1260cell254","SRR5960102","SAMN07544672","SRX3118339"
"KTN126","OPcell","KTN126OPcell189","SRR5960110","SAMN07544861","SRX3118331"
"KTN126","OPcell","KTN126OPcell188","SRR5960111","SAMN07544860","SRX3118330"
"KTN126","OPcell","KTN126OPcell191","SRR5960116","SAMN07544863","SRX3118325"
"KTN126","0cell","KTN1260cell76","SRR5960117","SAMN07544494","SRX3118324"
"KTN126","0cell","KTN1260cell75","SRR5960118","SAMN07544493","SRX3118323"
"KTN126","0cell","KTN1260cell74","SRR5960123","SAMN07544492","SRX3118318"
"KTN126","0cell","KTN1260cell149","SRR5960127","SAMN07544567","SRX3118314"
"KTN126","0cell","KTN1260cell10","SRR5960137","SAMN07544428","SRX3118304"
"KTN126","OPcell","KTN126OPcell242","SRR5960143","SAMN07544914","SRX3118298"
"KTN126","0cell","KTN1260cell211","SRR5960150","SAMN07544629","SRX3118291"
"KTN126","0cell","KTN1260cell215","SRR5960154","SAMN07544633","SRX3118287"
