"run_accession","fastq_ftp","fastq_bytes"
"SRR5958661","ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/001/SRR5958661/SRR5958661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/001/SRR5958661/SRR5958661_2.fastq.gz","61914268;81841134"
"SRR5958662","ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/002/SRR5958662/SRR5958662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/002/SRR5958662/SRR5958662_2.fastq.gz","53873265;71062584"
"SRR5960821","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/001/SRR5960821/SRR5960821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/001/SRR5960821/SRR5960821_2.fastq.gz","41818700;60533190"
"SRR5960822","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/002/SRR5960822/SRR5960822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/002/SRR5960822/SRR5960822_2.fastq.gz","47497639;67684106"
"SRR5960823","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/003/SRR5960823/SRR5960823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/003/SRR5960823/SRR5960823_2.fastq.gz","23268867;35486660"
"SRR5961316","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/006/SRR5961316/SRR5961316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/006/SRR5961316/SRR5961316_2.fastq.gz","42330471;65496727"
"SRR5961323","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/003/SRR5961323/SRR5961323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/003/SRR5961323/SRR5961323_2.fastq.gz","38890030;61037392"
"SRR5967480","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/000/SRR5967480/SRR5967480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/000/SRR5967480/SRR5967480_2.fastq.gz","49552338;77057776"
"SRR5967485","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/005/SRR5967485/SRR5967485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/005/SRR5967485/SRR5967485_2.fastq.gz","53453248;80915489"
"SRR5967486","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/006/SRR5967486/SRR5967486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/006/SRR5967486/SRR5967486_2.fastq.gz","68104338;102954977"
"SRR5968379","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/009/SRR5968379/SRR5968379.fastq.gz","37498671"
"SRR5968383","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/003/SRR5968383/SRR5968383.fastq.gz","154543489"
"SRR5958654","ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/004/SRR5958654/SRR5958654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/004/SRR5958654/SRR5958654_2.fastq.gz","37229958;49098245"
"SRR5958658","ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/008/SRR5958658/SRR5958658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/008/SRR5958658/SRR5958658_2.fastq.gz","181355793;235212595"
"SRR5958663","ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/003/SRR5958663/SRR5958663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/003/SRR5958663/SRR5958663_2.fastq.gz","168084595;227227828"
"SRR5960798","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/008/SRR5960798/SRR5960798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/008/SRR5960798/SRR5960798_2.fastq.gz","44855499;67002169"
"SRR5960804","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/004/SRR5960804/SRR5960804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/004/SRR5960804/SRR5960804_2.fastq.gz","45746563;67176784"
"SRR5960820","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/000/SRR5960820/SRR5960820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/000/SRR5960820/SRR5960820_2.fastq.gz","24778580;36424528"
"SRR5960796","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/006/SRR5960796/SRR5960796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/006/SRR5960796/SRR5960796_2.fastq.gz","63759784;93322602"
"SRR5960800","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/000/SRR5960800/SRR5960800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/000/SRR5960800/SRR5960800_2.fastq.gz","70433004;102591214"
"SRR5960802","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/002/SRR5960802/SRR5960802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/002/SRR5960802/SRR5960802_2.fastq.gz","26613634;39733302"
"SRR5960819","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/009/SRR5960819/SRR5960819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/009/SRR5960819/SRR5960819_2.fastq.gz","25201120;35082616"
"SRR5960826","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/006/SRR5960826/SRR5960826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/006/SRR5960826/SRR5960826_2.fastq.gz","28122808;42159745"
"SRR5960829","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/009/SRR5960829/SRR5960829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/009/SRR5960829/SRR5960829_2.fastq.gz","23334565;34963085"
"SRR5961315","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/005/SRR5961315/SRR5961315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/005/SRR5961315/SRR5961315_2.fastq.gz","58877906;90869800"
"SRR5961318","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/008/SRR5961318/SRR5961318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/008/SRR5961318/SRR5961318_2.fastq.gz","82005677;128057295"
"SRR5967479","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/009/SRR5967479/SRR5967479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/009/SRR5967479/SRR5967479_2.fastq.gz","53390288;83048574"
"SRR5967478","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/008/SRR5967478/SRR5967478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/008/SRR5967478/SRR5967478_2.fastq.gz","67785360;105046627"
"SRR5967487","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/007/SRR5967487/SRR5967487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/007/SRR5967487/SRR5967487_2.fastq.gz","81297323;124032963"
"SRR5968377","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/007/SRR5968377/SRR5968377.fastq.gz","45579161"
"SRR5968378","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/008/SRR5968378/SRR5968378.fastq.gz","168255488"
"SRR5968386","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/006/SRR5968386/SRR5968386.fastq.gz","35378646"
"SRR5968382","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/002/SRR5968382/SRR5968382.fastq.gz","14857345"
"SRR5968384","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/004/SRR5968384/SRR5968384.fastq.gz","10709337"
"SRR5968385","ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/005/SRR5968385/SRR5968385.fastq.gz","14707143"
"SRR5958655","ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/005/SRR5958655/SRR5958655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/005/SRR5958655/SRR5958655_2.fastq.gz","129260528;171955054"
"SRR5958656","ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/006/SRR5958656/SRR5958656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/006/SRR5958656/SRR5958656_2.fastq.gz","169676694;227034215"
