study_id,publication,accession,subtype,patients,samples,cells,assay,treatment,timing,longitudinal,pre,post,residual_or_relapse,cell_types,genomics,platform,institution,batch_structure,metadata_completeness,discovery,dynamics,spatial,validation,major_confounders,limitations,role,source_url
YAN_ARTEMIS_2026,"Yan et al., Ecotypes of TNBC in response to chemotherapy",PRJNA1041570;CELLxGENE e94bd3cc-6271-424a-baac-12f8eb320a0e,TNBC,108 enrolled;101 scRNA,101 scRNA patients;44 spatial patients,"427823 total;49275 malignant",scRNA-seq;Xenium;Visium;VisiumHD,AC-T neoadjuvant chemotherapy,pretreatment only for molecular assays,no,yes,no,response endpoint pCR/RD,malignant;immune;stromal,inferred CNA,10x multi-platform,MD Anderson/ARTEMIS,patient and spatial-platform batches,high,high,low,high,high,"response excluded in 19 of 101; core biopsy; dissociation; purity","No post-treatment single-cell tissue; response association is not transition evidence",Discovery;spatial;validation,https://www.nature.com/articles/s41586-026-10469-9
KIM_2018,"Kim et al., Chemoresistance evolution in TNBC",SRP114962;PRJNA396019,TNBC,20 bulk;8 detailed single-cell,serial samples pre mid and surgery,"6862 snRNA;900 scDNA;6633 SRA runs overall",snRNA-seq;scDNA;bulk exome,docetaxel+epirubicin then additional chemotherapy+bevacizumab,0 cycles;after 2 cycles;surgery,yes,yes,yes,yes,malignant-focused,single-cell DNA;bulk exome;CNA,nanogrid snRNA and scDNA,MD Anderson/Karolinska,patient/time/assay,moderate,medium,very high,no,medium,"small detailed cohort;platform;viability;therapy mixture","Raw public deposit is ~1386 GiB and mixes assays; processed matrix plus cell dictionary not yet confirmed",Primary dynamics discovery,https://pubmed.ncbi.nlm.nih.gov/29681456/
WU_2021,"Wu et al., Single-cell and spatial atlas",GSE176078;EGAS00001005173;Zenodo 4739739,mixed:11 ER+;5 HER2+;10 TNBC,26,26 primary plus spatial regions,"~100000 scRNA;verify exact",scRNA-seq;CITE-seq subset;Visium,untreated,pretreatment,no,yes,no,no,malignant;immune;stromal,inferred CNA;bulk RNA matched,10x;Visium,Baylor/UNC et al.,patient/subtype/platform,high,very high,none,high,high,"subtype;dissociation;region;platform","Cross-sectional; small subtype strata",Discovery;spatial;state validation,https://www.nature.com/articles/s41588-021-00911-1
PAL_2021,"Pal et al., single-cell breast atlas",GSE161529,mixed ER+ HER2+ TNBC;normal;BRCA1,52 total donors;32 tumors,69 profiles,421761,scRNA-seq,mostly treatment-naive,pretreatment;matched nodes in subset,limited,yes,no,no,epithelial;immune;stromal,not primary,10x,WEHI/multi-site,donor/tissue/subtype,high,very high,low,no,high,"normal hormonal state;node vs primary;subtype","Not a response cohort",Independent state recurrence,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161529
KARAAYVAZ_2018,"Karaayvaz et al., TNBC subclonal heterogeneity",GSE118389,TNBC,6,6 primary,"1534 cells",scRNA-seq,untreated,primary surgery,no,yes,no,no,malignant and TME,inferred CNV,Fluidigm C1,Tufts/Jackson Laboratory,patient,moderate,medium,none,no,medium,"very small cohort;low throughput;patient-specific clusters","Cross-sectional and platform differs from droplet studies",Historical discovery/robustness,https://www.nature.com/articles/s41467-018-06052-0
BASSEZ_2021,"Bassez et al., intratumoral anti-PD1 changes",EGAS00001004809;EGAD00001006608;biokey site,mixed breast cancers including TNBC,"40 enrolled;exact paired analytic N verify",pre/on-treatment biopsies,">100000;verify exact",scRNA-seq;scTCR-seq;CITE-seq;exome,anti-PD1,presurgical pre and on-treatment,yes,yes,yes,no,malignant;immune;stromal,TCR;exome;low-pass WGS,10x,KU Leuven/VIB,patient/time/subtype,moderate-high,high,high,no,high,"mixed subtypes;short exposure;access restrictions","Primarily pharmacodynamic response not chemotherapy residual disease",Independent treatment dynamics,https://www.nature.com/articles/s41591-021-01323-8
ZHANG_2021,"Zhang et al., response to PD-L1 blockade in TNBC",GSE169246,TNBC,22,78 RNA samples: 48 blood and 30 tumour,489490 CD45+ cells,scRNA-seq;scTCR-seq;scATAC subset,paclitaxel or paclitaxel+atezolizumab,pre/post/progression,yes,yes,yes,response available in article-derived secondary resource,CD45+ immune only,TCR;ATAC,10x 5prime,Peking University/multicenter,patient/time/arm/tissue,high,high,high,no,medium,"treatment arm;blood vs tumour;metastatic site;response","No malignant compartment; suitable for immune mechanisms only",Immune dynamics;validation,https://doi.org/10.1016/j.ccell.2021.09.010
SHIAO_2024,"Shiao et al., pembrolizumab and radiation response trajectories",GSE246613;PRJNA1032700,TNBC,"50 enrolled;34 with deposited molecular data","252 human assay records;33 patients with complete scRNA A/B/C","104 scRNA records;46 snRNA;102 scTCR",scRNA-seq;snRNA-seq;scTCR-seq;spatial proteomics,pembrolizumab then pembrolizumab+radiation,pre;after cycle 1;after cycle 2+RT,yes,yes,yes,response trajectories,malignant;immune;stromal,TCR,10x;spatial protein,Cedars-Sinai/clinical trial,patient/time/response/assay,high,high,very high,high,high,"radiation addition;response absent from GEO SOFT;immune infiltration","Different regimen is stringent but not direct chemotherapy replication",Falsification;regimen-shift validation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246613
WANG_2023,"Wang et al., Spatial predictors of immunotherapy response",publication repository verify,TNBC,"N verify",pretreatment/early-treatment sections,"spatial cells verify",multiplex imaging/spatial profiling,anti-PD1-based,pretreatment and treatment,limited,yes,yes,response,immune;stromal;malignant,limited,imaging-based spatial platform,multicenter,patient/batch/panel,moderate,medium,medium,very high,high,"limited gene/protein panel;segmentation;site","Spatial association does not establish transition",Spatial validation,https://www.nature.com/articles/s41586-023-06498-3
HAMMERL_2021,"Hammerl et al., spatial immunophenotypes and anti-PD1 response",GSE177043 plus EGA/TNBC cohorts,TNBC,"multiple cohorts;exact N verify",tissue sections and cohorts,"not scRNA primary",spatial immunophenotyping;bulk RNA/WGS,anti-PD1 context,pretreatment,no,yes,no,response,immune and malignant,WGS/RNA,imaging and bulk,Netherlands/multicenter,cohort/platform,moderate,medium,none,high,high,"panel;cohort mixing;response endpoint","Not transcriptome-wide single-cell dynamics",Spatial falsification,https://www.nature.com/articles/s41467-021-25962-0
BASSIOUNI_2023,"Bassiouni et al., conserved TNBC spatial architecture",publication data repository verify,TNBC,"N verify",spatial sections,"NR",spatial transcriptomics,mostly untreated,baseline,no,yes,no,no,malignant;immune;stromal,limited,spatial transcriptomics,US cohort,patient/slide,moderate,medium,none,very high,medium,"spot mixtures;section effects","No treatment dynamics",Spatial architecture validation,https://doi.org/10.1158/0008-5472.CAN-22-1328
HRNAC_2024,"Single-cell atlas of HR+ breast cancer response to NAC",GSE205472;PRJNA845793,HR+ luminal A/B,8 scRNA patients;21 mIF,13 scRNA samples;5 complete pre/post pairs,91235 barcodes,scRNA-seq;multiplex IF,neoadjuvant chemotherapy,pre/post,yes,yes,yes,resistant/response,malignant;immune;stromal,inferred CNV,10x NovaSeq,China;Zhejiang University,patient/time,moderate,high,high,medium,low-medium,"only 5 paired patients;barcode-to-sample map unclear;no linked citation in GEO","Exploratory negative control; not suitable as central validation without metadata repair",Alternative subtype;negative control,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205472
FELINE_2021,"Griffiths et al., serial single-cell genomics in FELINE",GSE114727,ER+/HER2-,"patients/cells verify from supplement",serial biopsies,NR,scRNA-seq,letrozole vs letrozole+ribociclib,baseline;day14;surgery,yes,yes,yes,resistance/proliferation endpoint,malignant;TME,inferred subclones,scRNA platform verify,City of Hope/FELINE,patient/time/arm,moderate,high,very high,no,medium,"endocrine mechanism;trial arm;small N","Access/metadata and exact counts require audit",Strong alternative direction,https://pubmed.ncbi.nlm.nih.gov/34712959/
PDX_PLATINUM_2024,"Single-cell decoding of drug-induced reprogramming in TNBC",associated accession verify;GSE276609 overlaps resources,TNBC PDX,multiple PDX models,serial passages,53641,scRNA-seq;single-cell CN,cisplatin exposure and withdrawal,time series over passages,yes,yes,yes,resistant PDX,malignant,single-cell copy number,10x/DLP+,Canadian groups,model/passage/treatment,moderate,high,very high,no,low,"mouse host;passage;PDX selection","Not independent human clinical validation",Mechanistic triangulation,https://pubmed.ncbi.nlm.nih.gov/39026273/
BRCA1_RD_2026,"Spatiotemporal organization of residual disease",GSE299631,BRCA1-deficient mammary tumours and human breast cancer,"human N verify",pre/residual spatial and single-cell structures,"NR",scRNA-seq;spatial transcriptomics;IMC,therapy context,pre/residual structure;verify,yes/verify,yes,yes,residual disease,malignant;immune;stromal,BRCA1 context,10x spatial;IMC,Netherlands/UK;verify,species/patient/time/platform,moderate,high,high,very high,high,"mouse-human mixture;BRCA1 enrichment;2026 novelty overlap","New study may directly compete; full metadata audit essential",Falsification;spatial residual validation,https://www.nature.com/articles/s41467-026-74125-6
