cell_id,proliferation,EMT,hypoxia,interferon,MYC,mTOR,angiogenesis,resistance,run_accession,clinical_id,candidate_timepoint,timepoint_confidence,classification_basis,sample_accession,sample_alias,library_strategy
KTN302__KTN3022cell388,1.23688694052422,4.01717330158765,2.40692342069459,3.52544806187066,2.72142823437198,0.617032250443443,1.94699028347508,1.58575493328578,SRR5958654,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543760,KTN3022cell388,RNA-Seq
KTN302__KTN3022cell387,0.942044499764853,4.03296306487858,2.11731915276997,4.19534148677676,2.68634159589479,1.14326377060043,0.913947271980411,0.869778361232128,SRR5958655,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543759,KTN3022cell387,RNA-Seq
KTN302__KTN3022cell386,0.790612369772445,4.22110332827637,4.37937345961931,4.80648023563995,3.07211154949349,2.23516375103845,3.28019937303387,1.64095140008012,SRR5958656,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543758,KTN3022cell386,RNA-Seq
KTN302__KTN3022cell385,0,3.15529432633071,4.11818857852758,3.61673764511981,2.47691892914483,0,0,0,SRR5958657,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543757,KTN3022cell385,RNA-Seq
KTN302__KTN3022cell453,0.62257427504172,4.75187935963897,1.12210760458121,1.70312123940221,1.43104085985279,0.621940860363319,0.650188858725176,0.269437738623764,SRR5958658,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543825,KTN3022cell453,RNA-Seq
KTN302__KTN3022cell305,2.1996282024538,6.57805221557595,3.60367454020429,6.19972843379879,4.20312409496265,1.87998582324413,2.16768441438774,2.3402769808237,SRR5958659,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543677,KTN3022cell305,RNA-Seq
KTN302__KTN3022cell284,1.31871514878112,5.4741160097455,4.48940715179135,4.23068105088459,3.08588382249698,3.48658845449248,1.53663747679301,0.370912773350558,SRR5958660,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543656,KTN3022cell284,RNA-Seq
KTN302__KTN3022cell283,1.66661532108488,6.28202417645656,3.52876197410035,4.97376887600045,5.22764548350182,0.759533393510381,1.31295766280892,0.615415891444636,SRR5958661,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543655,KTN3022cell283,RNA-Seq
KTN302__KTN3022cell278,0.521416100054929,2.87973086153572,3.8289417888655,5.72761335035086,3.24297411690053,1.22146550562912,1.87567809250912,1.756108608484,SRR5958662,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543650,KTN3022cell278,RNA-Seq
KTN302__KTN3022cell277,1.64913067306906,6.77589574848201,2.87726396882061,3.56786810471766,3.78361465060302,1.87398077928704,4.95540849633667,0.393281558398342,SRR5958663,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543649,KTN3022cell277,RNA-Seq
KTN615__KTN6150cell200,2.08074060929178,4.30224947734012,3.03369558733817,0.227850925576644,4.19306092482348,3.77433654319261,0.75786771685569,1.11759485156819,SRR5960796,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545616,KTN6150cell200,RNA-Seq
KTN615__KTN6150cell199,2.05151149334175,1.84920546949277,2.57598021820118,0.266938099140726,3.9928182508318,2.24730799310506,1.02871032323853,1.56643473604051,SRR5960797,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545615,KTN6150cell199,RNA-Seq
KTN615__KTN6150cell237,0.797275510790552,1.81401735408017,3.29818661788681,1.67457815515624,4.14388284223475,2.15916770854936,0.682138220533769,1.69930865450333,SRR5960798,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545653,KTN6150cell237,RNA-Seq
KTN615__KTN6150cell238,1.70248697697936,2.66437364584342,2.76141818091127,0.197220127079784,2.96610636366676,0.16435010589982,3.77557398060005,3.24165334869075,SRR5960799,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545654,KTN6150cell238,RNA-Seq
KTN615__KTN6150cell235,1.87798389081228,1.65434391270442,2.4677831763599,0.170478353625333,5.25320957929596,0.838726008067457,0.607695484922263,1.18326113219637,SRR5960800,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545651,KTN6150cell235,RNA-Seq
KTN615__KTN6150cell236,1.59064965067751,3.44493205700278,1.46100749457873,0.290110222326036,4.11229153479736,0.231364207043737,0.802894822950962,1.29081948063695,SRR5960801,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545652,KTN6150cell236,RNA-Seq
KTN615__KTN6150cell233,2.39180047677181,2.86687962476424,2.46248326184512,0.39576435977965,4.37354660403669,1.20228665578466,0.561775699066222,2.06346948615525,SRR5960802,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545649,KTN6150cell233,RNA-Seq
KTN615__KTN6150cell234,1.86955143895132,2.74401586316293,2.7157876624307,1.08176503478127,4.42732658738486,3.13845294916166,0,2.28783698852813,SRR5960803,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545650,KTN6150cell234,RNA-Seq
KTN615__KTN6150cell231,2.05975337969399,3.61978253842525,2.77128592582316,0.694631670423526,3.85704644449847,2.0937418945997,0.628128689380546,2.53523419449997,SRR5960804,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545647,KTN6150cell231,RNA-Seq
KTN615__KTN6150cell232,2.35272945704522,2.32830090747122,4.35147841623898,1.22787068124576,3.87433164367497,3.37005584764303,1.73354717156417,3.04255245404945,SRR5960805,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545648,KTN6150cell232,RNA-Seq
KTN615__KTN6152cell18,2.24773845835678,5.13819792224841,3.37485706372165,4.09561229777756,3.24673170209661,2.04206351993173,0,1.3459771442465,SRR5960819,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545719,KTN6152cell18,RNA-Seq
KTN615__KTN6152cell19,4.12001876501546,5.71143941340073,3.80611802604339,4.37976123136633,5.21226009021401,2.42535847377005,0.492059553961713,2.72526952259475,SRR5960820,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545720,KTN6152cell19,RNA-Seq
KTN615__KTN6152cell16,1.85231972739119,6.36916791424444,3.60953065702054,3.53286533290114,3.03653424243381,2.04401234264338,1.9203657052543,2.63605068369895,SRR5960821,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545717,KTN6152cell16,RNA-Seq
KTN615__KTN6152cell17,1.97406222162475,5.09318569061872,4.0094858740358,4.09782399386155,3.36503335203613,2.57647198160895,2.95786883842436,2.31705041214151,SRR5960822,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545718,KTN6152cell17,RNA-Seq
KTN615__KTN6152cell22,3.51827906982048,6.12940337637489,3.0954673491576,5.02068102517782,4.81904330963259,3.19388889288797,2.73532855114223,1.94553621754229,SRR5960823,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545723,KTN6152cell22,RNA-Seq
KTN615__KTN6152cell23,2.80001255674132,4.08739251623481,3.41590652704916,4.5987167022775,3.81887951874567,3.45563172488171,0.632211043061899,1.41836267200359,SRR5960824,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545724,KTN6152cell23,RNA-Seq
KTN615__KTN6152cell20,0.317980569258165,5.90684922564141,1.92359289627261,4.5293247238156,1.57929362368058,2.93894142847757,1.81577653831243,1.98298939611897,SRR5960825,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545721,KTN6152cell20,RNA-Seq
KTN615__KTN6152cell21,1.52251607218329,5.87374923183598,4.0477499339286,4.64008304285423,3.25220615079059,1.2657625392968,5.00966029937694,2.3344169364171,SRR5960826,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545722,KTN6152cell21,RNA-Seq
KTN615__KTN6152cell24,2.08721115604571,4.44727263368579,3.11238351688313,3.40166619412885,2.72651978809274,1.55664251795228,0.525885777904979,0.93680446470819,SRR5960829,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545725,KTN6152cell24,RNA-Seq
KTN615__KTN6152cell25,2.42243698119305,4.99038852002624,3.7985846712,6.10418410927837,3.66828561258518,1.16446201027426,1.24118336181748,1.10410028183375,SRR5960830,KTN615,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07545726,KTN6152cell25,RNA-Seq
KTN132__KTN1322cell443,1.19113920907739,0.78709427465861,3.25211709733545,3.13875076327447,2.98630864059445,0.647494947806779,0,0.196167346207077,SRR5961314,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544411,KTN1322cell443,RNA-Seq
KTN132__KTN1322cell442,1.96481856918199,2.32841866700869,1.92562996006063,2.99558204780884,1.489750713915,0.187608161094506,0.794505929918931,1.29139183793139,SRR5961315,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544410,KTN1322cell442,RNA-Seq
KTN132__KTN1322cell439,2.49333489762965,2.72771807180893,1.76692587092552,3.55240003679117,1.84308868154573,0,0.212355043808412,1.19657976923839,SRR5961316,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544407,KTN1322cell439,RNA-Seq
KTN132__KTN1322cell438,2.0730841441504,5.64896270373502,2.1074923588677,2.65192090383929,4.20528608929985,0.267321219955281,0.711663549363549,0.200490914966461,SRR5961317,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544406,KTN1322cell438,RNA-Seq
KTN132__KTN1322cell441,2.53050320633407,2.34503033192779,4.59632806172042,4.52274177501231,4.79939088405347,2.04001973766795,2.20944606489641,1.25397946602199,SRR5961318,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544409,KTN1322cell441,RNA-Seq
KTN132__KTN1322cell440,1.32071894352364,1.52166575196587,2.99152743113492,5.07254047075987,2.18154091103422,0,0.237302305521068,1.42485358870208,SRR5961319,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544408,KTN1322cell440,RNA-Seq
KTN132__KTN1322cell435,2.59181230559419,2.01597146826363,2.43534118123399,2.95294190463361,2.45516531569237,0,0.233899433021457,0.298063040118058,SRR5961320,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544403,KTN1322cell435,RNA-Seq
KTN132__KTN1322cell434,2.11792454884146,1.34408330026906,2.31825412427228,3.82074665136354,0.677070109469535,0.998218170616913,0.232131356120907,0.499333109498716,SRR5961321,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544402,KTN1322cell434,RNA-Seq
KTN132__KTN1322cell437,1.04466172546717,1.04890120577454,3.72613240069901,4.09969559907352,2.64252855508351,1.56749248528704,0.437723644705573,1.16150486623388,SRR5961322,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544405,KTN1322cell437,RNA-Seq
KTN132__KTN1322cell436,2.71343737809574,2.16095774266398,1.77643680357884,3.42398664602515,1.18547196556028,0.231368533213207,0.297484106665192,1.18829468317371,SRR5961323,KTN132,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07544404,KTN1322cell436,RNA-Seq
KTN132__KTN1320cell71,0.961451276847582,1.35169754360283,1.66121468568736,1.0883389412851,1.2669220844363,0.990909026304041,0.160956127526435,0.21894112997427,SRR5967478,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552330,KTN1320cell71,RNA-Seq
KTN132__KTN1320cell72,0.690506543218003,1.88305649879795,2.33298307673637,0.906957778895386,0,0.31807421381248,0.356901439236082,0.23855566035936,SRR5967479,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552331,KTN1320cell72,RNA-Seq
KTN132__KTN1320cell73,0.517304123531937,0.986232070293582,2.98479997640039,2.58014795072409,2.4179205370871,0.213250341712837,1.73538686431612,0.300157907573808,SRR5967480,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552332,KTN1320cell73,RNA-Seq
KTN132__KTN1320cell74,1.22132240546752,1.15364433186756,2.46381173847612,0.403224541914184,2.72553835504667,0.238144921306166,1.58762200098131,0.178608690979624,SRR5967481,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552333,KTN1320cell74,RNA-Seq
KTN132__KTN1320cell75,0.256275232038384,0.835370354426046,0.986090471981184,0.789282639886708,0.621853673053962,1.2632621497814,0.278447063202515,0.32034404004798,SRR5967482,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552334,KTN1320cell75,RNA-Seq
KTN132__KTN1320cell76,1.38332048495869,0.949461172396794,4.03757451924445,0.351937310710591,1.4710785465854,0.162581979440626,1.07654066416387,0.245384987414937,SRR5967483,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552335,KTN1320cell76,RNA-Seq
KTN132__KTN1320cell77,2.11848403537806,2.23959138907817,4.09763313078489,1.81481079251892,0.338794192584105,4.88990940815833,1.19433762529591,0.590971411877125,SRR5967484,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552336,KTN1320cell77,RNA-Seq
KTN132__KTN1320cell78,1.48658953311229,0.811050113735898,3.5908658541631,3.23046015538444,2.018574808165,0,1.8414683548543,0.993233591880245,SRR5967485,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552337,KTN1320cell78,RNA-Seq
KTN132__KTN1320cell79,0.554438665112126,1.7003503133877,3.30209256086196,2.0213906390208,2.13652240037806,0.693445475876272,0.540149805252227,0.726743743517444,SRR5967486,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552338,KTN1320cell79,RNA-Seq
KTN132__KTN1320cell80,0.817936250889024,1.61468446375584,3.93527612603711,1.47079141188157,1.92888238761451,1.04683432129797,1.60543497423712,1.39714788198423,SRR5967487,KTN132,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07552339,KTN1320cell80,RNA-Seq
KTN302__KTN3020cell111,4.12098805921319,3.25335072689494,5.53685073100742,3.96872343841702,5.53909824706552,2.97276131480364,1.61268233526794,1.38172284694118,SRR5968377,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554047,KTN3020cell111,RNA-Seq
KTN302__KTN3020cell112,5.92321798325868,2.69398915665117,5.06134183338628,3.05687849028159,6.55661453774563,2.99091631526497,1.20546943607264,2.72129480788111,SRR5968378,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554048,KTN3020cell112,RNA-Seq
KTN302__KTN3020cell300,5.59192675472332,4.06961019161193,3.9267445280077,3.57217837713133,6.19049248930836,4.08138440745628,1.03124368172049,1.60478141084625,SRR5968379,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554236,KTN3020cell300,RNA-Seq
KTN302__KTN3020cell299,4.90011757846594,2.88297825180362,3.58502320721591,3.69500550870124,5.85199749168629,3.37779260084697,0.530618569312686,1.13681236243907,SRR5968380,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554235,KTN3020cell299,RNA-Seq
KTN302__KTN3020cell115,4.60697806357323,2.77803592864593,4.18732272073088,2.6344650839255,5.91857071821183,2.46881016656547,0.736146555507781,2.34561723007202,SRR5968381,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554051,KTN3020cell115,RNA-Seq
KTN302__KTN3020cell116,4.94387695595442,2.15136467263414,3.90631005045447,2.94387744446036,5.86860796026833,2.22925944211795,0.839521343856421,0.904996378908324,SRR5968382,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554052,KTN3020cell116,RNA-Seq
KTN302__KTN3020cell117,4.82081340944442,2.45329967059938,4.43130294676565,3.14572152373507,4.56756598569257,3.06200461500226,2.43551903329364,1.67570095533222,SRR5968383,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554053,KTN3020cell117,RNA-Seq
KTN302__KTN3020cell118,3.5757735219642,1.64493175462668,4.31838510061159,3.48871517892861,4.94793243683825,2.02596968539798,1.5862936934394,1.38800698175947,SRR5968384,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554054,KTN3020cell118,RNA-Seq
KTN302__KTN3020cell294,5.71940962738726,2.5323526601207,4.03839651008946,3.80658619294809,7.27979862446288,2.32896070692415,1.16378612801023,2.55365741883935,SRR5968385,KTN302,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07554230,KTN3020cell294,RNA-Seq
