cell_id,PC1,PC2,PC3,PC4,run_accession,clinical_id,candidate_timepoint,timepoint_confidence,sample_alias,cluster
KTN302__KTN3022cell388,-1.84930264271863,-8.01143200607808,7.17052977975704,-4.32786181628474,SRR5958654,KTN302,mid_candidate,medium,KTN3022cell388,C3
KTN302__KTN3022cell387,-0.421298321280867,-7.64867659165956,5.1602998686808,-5.0588226516422,SRR5958655,KTN302,mid_candidate,medium,KTN3022cell387,C3
KTN302__KTN3022cell386,-8.29995036793199,-2.0809126379192,5.03570696167564,-3.58561559056987,SRR5958656,KTN302,mid_candidate,medium,KTN3022cell386,C3
KTN302__KTN3022cell385,14.9600457569904,-11.1013352419748,8.491687032119,-16.8283540540021,SRR5958657,KTN302,mid_candidate,medium,KTN3022cell385,C4
KTN302__KTN3022cell453,9.767496848307,-5.71652088665191,3.79281553415087,-9.81028965043467,SRR5958658,KTN302,mid_candidate,medium,KTN3022cell453,C4
KTN302__KTN3022cell305,-8.94497393295799,-8.02030612682914,7.79982817465437,1.8254730507028,SRR5958659,KTN302,mid_candidate,medium,KTN3022cell305,C3
KTN302__KTN3022cell284,-5.30040676873795,-8.63449630995738,5.18781221053565,-2.36761627717397,SRR5958660,KTN302,mid_candidate,medium,KTN3022cell284,C3
KTN302__KTN3022cell283,0.211856391741453,-9.56788884408035,5.30600439681973,-4.34372331790209,SRR5958661,KTN302,mid_candidate,medium,KTN3022cell283,C3
KTN302__KTN3022cell278,1.35262939562403,-8.54384322716694,8.8140990338907,-8.8550059774084,SRR5958662,KTN302,mid_candidate,medium,KTN3022cell278,C3
KTN302__KTN3022cell277,-0.475753118053785,-8.42492681993647,4.49000660389294,-7.74910534540562,SRR5958663,KTN302,mid_candidate,medium,KTN3022cell277,C3
KTN615__KTN6150cell200,-10.560720650687,-5.73144390049839,-10.5953387484,-0.235963171399746,SRR5960796,KTN615,pre_candidate,medium,KTN6150cell200,C1
KTN615__KTN6150cell199,-10.6119821195945,-4.02359430611355,-13.8508846182762,-1.46858743622849,SRR5960797,KTN615,pre_candidate,medium,KTN6150cell199,C1
KTN615__KTN6150cell237,-12.2609615038652,-2.62723543749367,-13.8049914320735,-0.991985493360285,SRR5960798,KTN615,pre_candidate,medium,KTN6150cell237,C1
KTN615__KTN6150cell238,-7.02693323199535,-3.86569552405232,-12.4636342030026,-6.04968455028767,SRR5960799,KTN615,pre_candidate,medium,KTN6150cell238,C1
KTN615__KTN6150cell235,-7.39728112521086,-4.99282547838675,-14.6171890964072,-4.48896642045304,SRR5960800,KTN615,pre_candidate,medium,KTN6150cell235,C1
KTN615__KTN6150cell236,-8.35482608399255,-2.7848094399412,-13.4989092717626,-5.98517070044271,SRR5960801,KTN615,pre_candidate,medium,KTN6150cell236,C1
KTN615__KTN6150cell233,-10.6194969826859,-3.2680732617726,-12.5672343510089,1.30080002781387,SRR5960802,KTN615,pre_candidate,medium,KTN6150cell233,C1
KTN615__KTN6150cell234,-6.85715858061548,-4.27699287012879,-14.1291468604154,-1.93570827426856,SRR5960803,KTN615,pre_candidate,medium,KTN6150cell234,C1
KTN615__KTN6150cell231,-9.12611015023978,-4.1387062184349,-10.3388300298395,-1.37502501847807,SRR5960804,KTN615,pre_candidate,medium,KTN6150cell231,C1
KTN615__KTN6150cell232,-10.7168360439097,-4.40163248761173,-11.1476421198689,-0.430822420675044,SRR5960805,KTN615,pre_candidate,medium,KTN6150cell232,C1
KTN615__KTN6152cell18,-11.0003152532053,-9.51190244524555,3.96627268991076,8.02347102973355,SRR5960819,KTN615,mid_candidate,medium,KTN6152cell18,C3
KTN615__KTN6152cell19,-10.9969124543799,-8.71112353477036,4.83999205308237,7.28972231583073,SRR5960820,KTN615,mid_candidate,medium,KTN6152cell19,C3
KTN615__KTN6152cell16,-15.4588330046203,-7.81139370937771,2.41027459354109,6.78836023921071,SRR5960821,KTN615,mid_candidate,medium,KTN6152cell16,C3
KTN615__KTN6152cell17,-10.0914298031921,-8.15746507127933,6.03815150454934,6.71416496896045,SRR5960822,KTN615,mid_candidate,medium,KTN6152cell17,C3
KTN615__KTN6152cell22,-14.4085926971695,-6.85533613338948,3.76891411271921,7.85404337087617,SRR5960823,KTN615,mid_candidate,medium,KTN6152cell22,C3
KTN615__KTN6152cell23,-12.6657202796999,-6.03598047412938,4.31736755964979,7.27602554997479,SRR5960824,KTN615,mid_candidate,medium,KTN6152cell23,C3
KTN615__KTN6152cell20,-4.67925104075717,-9.9943404121982,3.85322489858932,3.87384694435513,SRR5960825,KTN615,mid_candidate,medium,KTN6152cell20,C3
KTN615__KTN6152cell21,-16.055888545175,-7.35001981949337,4.45016642212607,7.73646264974561,SRR5960826,KTN615,mid_candidate,medium,KTN6152cell21,C3
KTN615__KTN6152cell24,-11.6707905181432,-7.19907288402278,3.85765219727346,8.00920456757774,SRR5960829,KTN615,mid_candidate,medium,KTN6152cell24,C3
KTN615__KTN6152cell25,-9.58166546312954,-6.11765888768543,2.69301046512635,6.92823177552366,SRR5960830,KTN615,mid_candidate,medium,KTN6152cell25,C3
KTN132__KTN1322cell443,19.0844387150634,5.71749317430856,-0.655315017973088,3.71624074867083,SRR5961314,KTN132,mid_candidate,medium,KTN1322cell443,C4
KTN132__KTN1322cell442,16.852050783681,6.51998907060362,-1.97113890900941,12.0947044851065,SRR5961315,KTN132,mid_candidate,medium,KTN1322cell442,C4
KTN132__KTN1322cell439,18.0918611802009,7.34381966098582,-1.67002777124553,3.03997040698094,SRR5961316,KTN132,mid_candidate,medium,KTN1322cell439,C4
KTN132__KTN1322cell438,12.3156555417011,-3.32628453543751,3.03710737014114,11.6084339201821,SRR5961317,KTN132,mid_candidate,medium,KTN1322cell438,C4
KTN132__KTN1322cell441,11.1833307483166,7.92139462495517,-1.17282583852333,15.2239296068687,SRR5961318,KTN132,mid_candidate,medium,KTN1322cell441,C4
KTN132__KTN1322cell440,21.0202166955577,2.80876488358648,0.566606685320956,3.66393035678195,SRR5961319,KTN132,mid_candidate,medium,KTN1322cell440,C4
