"component","variance_fraction"
"PC1",0.24576569156425
"PC2",0.0600767052146529
"PC3",0.0405189709658251
"PC4",0.0355326619827112
"PC5",0.021073533689577
"PC6",0.019236688830095
"PC7",0.0187376582825012
"PC8",0.0183683332798103
"PC9",0.0181130667913009
"PC10",0.0171658034476191
"PC11",0.0171424560514277
"PC12",0.016719066921633
"PC13",0.0164957396574803
"PC14",0.0162683722522668
"PC15",0.015983242126926
"PC16",0.0154183365058534
"PC17",0.0153510476828405
"PC18",0.0146274643206309
"PC19",0.0145169331625078
"PC20",0.0143101971483249
"PC21",0.0140877851522053
"PC22",0.0137845063734045
"PC23",0.013593526113912
"PC24",0.0132354622228246
"PC25",0.0130156748543208
"PC26",0.0126240019433411
"PC27",0.0123756354468949
"PC28",0.0121970197951884
"PC29",0.0120540420924077
"PC30",0.0119118680485311
"PC31",0.0116630046887499
"PC32",0.0115026421330039
"PC33",0.0112061949920542
"PC34",0.0104956410167906
"PC35",0.0102010789363124
"PC36",0.0101797050121781
"PC37",0.00987599451966844
"PC38",0.00982326784543814
"PC39",0.00945755833017153
"PC40",0.00917973525276426
"PC41",0.00912841558257107
"PC42",0.00898295423259257
"PC43",0.008601208518916
"PC44",0.00829466958157326
"PC45",0.00798848961381539
"PC46",0.00744224981509967
"PC47",0.0072913148679446
"PC48",0.00701184572999253
"PC49",0.00595713974854441
"PC50",0.00548565521490426
"PC51",0.00534350507016511
"PC52",0.00511516878406549
"PC53",0.00492141763960752
"PC54",0.00465862318873681
"PC55",0.00452676035914739
"PC56",0.00421983374265911
"PC57",0.00410654242951092
"PC58",0.00400245163523256
"PC59",0.00303543959652559
"PC60",4.84687361454037e-32
