"cluster","rank","gene_id","score"
"C1",1,"ENSG00000162896",10.158644460114
"C1",2,"ENSG00000126545",8.68987330427886
"C1",3,"ENSG00000161055",8.65202939206111
"C1",4,"ENSG00000151882",8.6295754399032
"C1",5,"ENSG00000171209",8.45020789695203
"C1",6,"ENSG00000157404",8.2867939141968
"C1",7,"ENSG00000172201",7.74632479350774
"C1",8,"ENSG00000132465",7.74266928041356
"C1",9,"ENSG00000189058",7.3270781125808
"C1",10,"ENSG00000154856",6.8796096807659
"C1",11,"ENSG00000064651",6.82916867011443
"C1",12,"ENSG00000150593",6.58662311741631
"C1",13,"ENSG00000230937",6.28177689491617
"C1",14,"ENSG00000148053",5.96987391562826
"C1",15,"ENSG00000069702",5.84343193304381
"C1",16,"ENSG00000104332",5.69901345881117
"C1",17,"ENSG00000171346",5.59216467288646
"C1",18,"ENSG00000147862",5.55114595903916
"C1",19,"ENSG00000269893",5.54081528691533
"C1",20,"ENSG00000145824",5.5341956599369
"C1",21,"ENSG00000131620",5.52878676210274
"C1",22,"ENSG00000081479",5.50022300029811
"C1",23,"ENSG00000111907",5.46841303394147
"C1",24,"ENSG00000115468",5.38469593857784
"C1",25,"ENSG00000170561",5.36995124988761
"C1",26,"ENSG00000116299",5.3035381657118
"C1",27,"ENSG00000170549",5.28911476030313
"C1",28,"ENSG00000153246",5.22520627429246
"C1",29,"ENSG00000198947",5.18568816441653
"C1",30,"ENSG00000104763",5.11664039030398
"C1",31,"ENSG00000065618",5.08600140709707
"C1",32,"ENSG00000188001",5.08444715305267
"C1",33,"ENSG00000133392",5.0523551028069
"C1",34,"ENSG00000185559",5.03555507715419
"C1",35,"ENSG00000150938",4.99641744761974
"C1",36,"ENSG00000126804",4.98612492852305
"C1",37,"ENSG00000211895",4.97548772391953
"C1",38,"ENSG00000091409",4.96788910119298
"C1",39,"ENSG00000107798",4.8542562260005
"C1",40,"ENSG00000173757",4.80173862724511
"C1",41,"ENSG00000139289",4.70893050320364
"C1",42,"ENSG00000164346",4.69138701157833
"C1",43,"ENSG00000211899",4.6803425002569
"C1",44,"ENSG00000092964",4.67145055016493
"C1",45,"ENSG00000134644",4.67059209365061
"C1",46,"ENSG00000145675",4.66811759691677
"C1",47,"ENSG00000119681",4.63414228110713
"C1",48,"ENSG00000250321",4.60249407301642
"C1",49,"ENSG00000168077",4.59788839538071
"C1",50,"ENSG00000233254",4.5933239699534
"C2",1,"ENSG00000249992",8.58802525072407
"C2",2,"ENSG00000138778",7.96504695888683
"C2",3,"ENSG00000177283",7.65159400141973
"C2",4,"ENSG00000163064",7.10531001209711
"C2",5,"ENSG00000066468",6.79557926554978
"C2",6,"ENSG00000066279",6.74284406626942
"C2",7,"ENSG00000143013",6.69607433734169
"C2",8,"ENSG00000154734",6.63867384162537
"C2",9,"ENSG00000153551",6.35132986287659
"C2",10,"ENSG00000147853",6.27799425738649
