run_accession,assigned,total,assigned_fraction,qc_flag
SRR5958654,249671,1390290,0.179581957721051,pass_exploratory
SRR5958655,1141823,4633739,0.246415044092902,pass_exploratory
SRR5958656,1015620,5392889,0.188325774923237,pass_exploratory
SRR5958657,4928,85907,0.0573643591325503,low_assignment_flag
SRR5958658,2020140,6189111,0.326402289440277,pass_exploratory
SRR5958659,204597,1392127,0.146967194803348,pass_exploratory
SRR5958660,146612,1348718,0.108704710695638,pass_exploratory
SRR5958661,443605,2244238,0.197663973250609,pass_exploratory
SRR5958662,428110,1937485,0.220961710671308,pass_exploratory
SRR5958663,1524206,5826838,0.261583726885834,pass_exploratory
SRR5960796,778864,2451658,0.317688682516077,pass_exploratory
SRR5960797,656938,2195906,0.299164900501205,pass_exploratory
SRR5960798,492827,1708699,0.288422361106315,pass_exploratory
SRR5960799,1019551,3191467,0.319461551693939,pass_exploratory
SRR5960800,885034,2608406,0.339300707021836,pass_exploratory
SRR5960801,618241,2024153,0.305431951043226,pass_exploratory
SRR5960802,343948,1114807,0.308526946816803,pass_exploratory
SRR5960803,332380,1070424,0.310512469825041,pass_exploratory
SRR5960804,598002,1850023,0.323240305661065,pass_exploratory
SRR5960805,475292,1501640,0.316515276630884,pass_exploratory
SRR5960819,224291,1109410,0.202171424450834,pass_exploratory
SRR5960820,202304,1204371,0.167974818390679,pass_exploratory
SRR5960821,343921,1837049,0.187213841329219,pass_exploratory
SRR5960822,451761,2128202,0.212273552980403,pass_exploratory
SRR5960823,174300,1212356,0.143769651818443,pass_exploratory
SRR5960824,275062,1118719,0.245872287857809,pass_exploratory
SRR5960825,124041,428965,0.289163451563647,pass_exploratory
SRR5960826,243907,1267691,0.192402564978374,pass_exploratory
SRR5960829,253640,962940,0.263401665732029,pass_exploratory
SRR5960830,2278043,6888925,0.330681927876991,pass_exploratory
SRR5961314,508211,1639915,0.309900818030203,pass_exploratory
SRR5961315,846026,2705101,0.312752093175079,pass_exploratory
SRR5961316,554922,1903681,0.291499468660978,pass_exploratory
SRR5961317,980538,2942027,0.333286540198305,pass_exploratory
SRR5961318,1225800,3810652,0.32167723528677,pass_exploratory
SRR5961319,462404,1335504,0.34623932238316,pass_exploratory
SRR5961320,473749,1434994,0.33014005633473,pass_exploratory
SRR5961321,479789,1724433,0.278230003717164,pass_exploratory
SRR5961322,679047,2165657,0.313552423121482,pass_exploratory
SRR5961323,618223,1905933,0.324367645662256,pass_exploratory
SRR5967478,844897,3069365,0.275267685661366,pass_exploratory
SRR5967479,726205,2514390,0.288819554643472,pass_exploratory
SRR5967480,700500,2360698,0.296734270965621,pass_exploratory
SRR5967481,590892,2255829,0.261940067265737,pass_exploratory
SRR5967482,698955,2471202,0.282840091582962,pass_exploratory
SRR5967483,1034863,3735380,0.277043567187274,pass_exploratory
SRR5967484,784398,2795553,0.280587776371974,pass_exploratory
SRR5967485,529375,2276120,0.232577807848444,pass_exploratory
SRR5967486,922967,3098105,0.297913401902131,pass_exploratory
SRR5967487,1107309,3756043,0.294807327818132,pass_exploratory
SRR5968377,408709,880881,0.463977540666673,pass_exploratory
SRR5968378,1952761,2832808,0.689337576002327,pass_exploratory
SRR5968379,347487,673029,0.516303160785048,pass_exploratory
SRR5968380,247407,654908,0.377773672027216,pass_exploratory
SRR5968381,419998,785160,0.534920271027561,pass_exploratory
SRR5968382,86572,290840,0.297661944711869,pass_exploratory
SRR5968383,1810693,2638670,0.686214267036045,pass_exploratory
SRR5968384,80115,207351,0.386373829882663,pass_exploratory
SRR5968385,89641,303408,0.295447054790909,pass_exploratory
SRR5968386,339636,680035,0.499438999463263,pass_exploratory
