,Status,SRR5958654.bam,SRR5958655.bam,SRR5958656.bam,SRR5958657.bam,SRR5958658.bam,SRR5958659.bam,SRR5958660.bam,SRR5958661.bam,SRR5958662.bam,SRR5958663.bam,SRR5960796.bam,SRR5960797.bam,SRR5960798.bam,SRR5960799.bam,SRR5960800.bam,SRR5960801.bam,SRR5960802.bam,SRR5960803.bam,SRR5960804.bam,SRR5960805.bam,SRR5960819.bam,SRR5960820.bam,SRR5960821.bam,SRR5960822.bam,SRR5960823.bam,SRR5960824.bam,SRR5960825.bam,SRR5960826.bam,SRR5960829.bam,SRR5960830.bam,SRR5961314.bam,SRR5961315.bam,SRR5961316.bam,SRR5961317.bam,SRR5961318.bam,SRR5961319.bam,SRR5961320.bam,SRR5961321.bam,SRR5961322.bam,SRR5961323.bam,SRR5967478.bam,SRR5967479.bam,SRR5967480.bam,SRR5967481.bam,SRR5967482.bam,SRR5967483.bam,SRR5967484.bam,SRR5967485.bam,SRR5967486.bam,SRR5967487.bam,SRR5968377.bam,SRR5968378.bam,SRR5968379.bam,SRR5968380.bam,SRR5968381.bam,SRR5968382.bam,SRR5968383.bam,SRR5968384.bam,SRR5968385.bam,SRR5968386.bam
1,Assigned,249671,1141823,1015620,4928,2020140,204597,146612,443605,428110,1524206,778864,656938,492827,1019551,885034,618241,343948,332380,598002,475292,224291,202304,343921,451761,174300,275062,124041,243907,253640,2278043,508211,846026,554922,980538,1225800,462404,473749,479789,679047,618223,844897,726205,700500,590892,698955,1034863,784398,529375,922967,1107309,408709,1952761,347487,247407,419998,86572,1810693,80115,89641,339636
2,Unassigned_Unmapped,1140619,3491916,4377269,80979,4168971,1187530,1202106,1800633,1509375,4302632,1672794,1538968,1215872,2171916,1723372,1405912,770859,738044,1252021,1026348,885119,1002067,1493128,1676441,1038056,843657,304924,1023784,709300,4610882,1131704,1859075,1348759,1961489,2584852,873100,961245,1244644,1486610,1287710,2224468,1788185,1660198,1664937,1772247,2700517,2011155,1746745,2175138,2648734,472172,880047,325542,407501,365162,204268,827977,127236,213767,340399
3,Unassigned_Read_Type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Unassigned_Singleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Unassigned_MappingQuality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Unassigned_Chimera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Unassigned_FragmentLength,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Unassigned_Duplicate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Unassigned_MultiMapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Unassigned_Secondary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Unassigned_NonSplit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Unassigned_NoFeatures,126711,372766,1101952,1780,439094,71268,104169,229441,151515,634280,252843,291791,246608,438221,289951,215232,77199,73014,114900,105396,33090,31021,88934,73912,33981,75034,13815,71428,60901,387791,177600,317265,287279,305341,409356,41958,44798,276158,252815,135928,542154,382736,286959,410580,372883,664207,413802,511192,445760,475521,79292,485759,80698,35856,57666,23164,399123,15683,20190,52633
13,Unassigned_Overlapping_Length,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Unassigned_Ambiguity,56969,207191,333853,1089,306629,47707,29967,89219,79756,249178,132137,106967,77331,187080,151933,124981,55966,57990,101661,82960,31366,29720,48987,63686,28527,37751,16044,36349,37963,297102,83263,121596,102312,119318,183730,63426,63226,71881,104258,83377,106021,75894,101231,110921,103239,153927,102281,126734,148237,207972,70533,295723,59081,36672,61307,16474,269056,13786,13837,49839
