gene_id,SRR5958654.bam,SRR5958655.bam,SRR5958656.bam,SRR5958657.bam,SRR5958658.bam,SRR5958659.bam,SRR5958660.bam,SRR5958661.bam,SRR5958662.bam,SRR5958663.bam,SRR5960796.bam,SRR5960797.bam,SRR5960798.bam,SRR5960799.bam,SRR5960800.bam,SRR5960801.bam,SRR5960802.bam,SRR5960803.bam,SRR5960804.bam,SRR5960805.bam,SRR5960819.bam,SRR5960820.bam,SRR5960821.bam,SRR5960822.bam,SRR5960823.bam,SRR5960824.bam,SRR5960825.bam,SRR5960826.bam,SRR5960829.bam,SRR5960830.bam,SRR5961314.bam,SRR5961315.bam,SRR5961316.bam,SRR5961317.bam,SRR5961318.bam,SRR5961319.bam,SRR5961320.bam,SRR5961321.bam,SRR5961322.bam,SRR5961323.bam,SRR5967478.bam,SRR5967479.bam,SRR5967480.bam,SRR5967481.bam,SRR5967482.bam,SRR5967483.bam,SRR5967484.bam,SRR5967485.bam,SRR5967486.bam,SRR5967487.bam,SRR5968377.bam,SRR5968378.bam,SRR5968379.bam,SRR5968380.bam,SRR5968381.bam,SRR5968382.bam,SRR5968383.bam,SRR5968384.bam,SRR5968385.bam,SRR5968386.bam
ENSG00000142611,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157911,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000142655,0,0,0,0,0,0,0,2,96,2,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
ENSG00000232596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
