cohort,candidate,n_features,common_genes,spearman_recovery,passes_0_60
ARTEMIS,ARTEMIS_C01,1500,1500,0.8875138163566589,True
ARTEMIS,ARTEMIS_C02,1500,1500,0.7717288136482239,True
ARTEMIS,ARTEMIS_C03,1500,1500,0.8069239258766174,True
ARTEMIS,ARTEMIS_C04,1500,1500,0.7893548607826233,True
ARTEMIS,ARTEMIS_C05,1500,1500,0.8184766173362732,True
ARTEMIS,ARTEMIS_C01,2500,2000,0.8017541170120239,True
ARTEMIS,ARTEMIS_C02,2500,2000,0.6693800687789917,True
ARTEMIS,ARTEMIS_C03,2500,2000,0.9554264545440674,True
ARTEMIS,ARTEMIS_C04,2500,2000,0.8744855523109436,True
ARTEMIS,ARTEMIS_C05,2500,2000,0.9750363826751709,True
WU_GSE176078,WU_GSE176078_C01,1500,1500,0.8901447057723999,True
WU_GSE176078,WU_GSE176078_C02,1500,1500,0.8375205397605896,True
WU_GSE176078,WU_GSE176078_C03,1500,1500,0.4716251790523529,False
WU_GSE176078,WU_GSE176078_C04,1500,1500,0.8438808917999268,True
WU_GSE176078,WU_GSE176078_C05,1500,1500,0.9130473136901855,True
WU_GSE176078,WU_GSE176078_C06,1500,1500,0.9147390127182007,True
WU_GSE176078,WU_GSE176078_C07,1500,1500,0.8931885361671448,True
WU_GSE176078,WU_GSE176078_C08,1500,1500,0.6371638774871826,True
WU_GSE176078,WU_GSE176078_C01,2500,2000,0.9553114175796509,True
WU_GSE176078,WU_GSE176078_C02,2500,2000,0.791608989238739,True
WU_GSE176078,WU_GSE176078_C03,2500,2000,0.5339648127555847,False
WU_GSE176078,WU_GSE176078_C04,2500,2000,0.9700657725334167,True
WU_GSE176078,WU_GSE176078_C05,2500,2000,0.8456317186355591,True
WU_GSE176078,WU_GSE176078_C06,2500,2000,0.8344921469688416,True
WU_GSE176078,WU_GSE176078_C07,2500,2000,0.8180780410766602,True
WU_GSE176078,WU_GSE176078_C08,2500,2000,0.7496960759162903,True
KARAAYVAZ_GSE118389,KARAAYVAZ_GSE118389_C01,1500,1500,0.7579243779182434,True
KARAAYVAZ_GSE118389,KARAAYVAZ_GSE118389_C02,1500,1500,0.8942385911941528,True
KARAAYVAZ_GSE118389,KARAAYVAZ_GSE118389_C03,1500,1500,0.975348711013794,True
KARAAYVAZ_GSE118389,KARAAYVAZ_GSE118389_C04,1500,1500,0.46798938512802124,False
KARAAYVAZ_GSE118389,KARAAYVAZ_GSE118389_C05,1500,1500,0.790667712688446,True
KARAAYVAZ_GSE118389,KARAAYVAZ_GSE118389_C01,2500,2000,0.8802028298377991,True
KARAAYVAZ_GSE118389,KARAAYVAZ_GSE118389_C02,2500,2000,0.9535475373268127,True
KARAAYVAZ_GSE118389,KARAAYVAZ_GSE118389_C03,2500,2000,0.8270075917243958,True
KARAAYVAZ_GSE118389,KARAAYVAZ_GSE118389_C04,2500,2000,0.6100162267684937,True
KARAAYVAZ_GSE118389,KARAAYVAZ_GSE118389_C05,2500,2000,0.9315979480743408,True
