donor_id,sampleid,site_biopsy,n_malignant_tnbc,library_size,P8,State_01,State_02,State_03,State_04
HTAPP-211,HTAPP-211-SMP-6751,Liver,2161,8880669,4.795587190609419,3.038925712702096,2.851353056780986,3.373411943506673,3.152935579482646
HTAPP-213,HTAPP-213-SMP-6752,Chest wall,3426,17191495,4.472078085274708,2.6461753537259494,2.6655013424925915,2.71167696802569,2.9203100493892356
HTAPP-223,HTAPP-223-SMP-7537,Liver,9433,35834149,4.440237382147204,2.292575241995758,2.5478947624579815,3.125767286753408,3.7266177878662092
HTAPP-226,HTAPP-226-SMP-6757,Liver,15810,46891416,4.422300258432567,2.709372860572799,2.762274783064454,2.856195663975874,3.823614249503293
HTAPP-514,HTAPP-514-SMP-6760,Axilla,12062,40465188,5.33213485236592,3.460862388928318,3.6068006923932567,3.6919577586564363,3.2856615155605056
HTAPP-516,HTAPP-516-SMP-6761,Chest wall,1725,10083654,3.853338371970779,2.720949408877201,2.2467777841534775,2.5443205451015616,2.9326932521583884
HTAPP-519,HTAPP-519-SMP-6762,Axilla,4317,20177800,4.603250071892692,3.004899159264259,2.909547951759047,3.1755234328298436,3.3764235452060287
HTAPP-521,HTAPP-521-SMP-6763,Skin,6669,20814139,4.371796557382131,2.3121749969831566,2.402534908351393,2.8999928209317565,3.75324599625053
HTAPP-525,HTAPP-525-SMP-6765,Chest wall,4305,25534883,4.029305725776052,2.07282539102097,2.2205400882745163,2.2200569870264317,3.532759689962909
HTAPP-887,HTAPP-887-SMP-7250,Axilla,4638,23104859,4.513164030219555,2.9813867053255114,2.78744385692867,3.0192903049386595,2.993059824021673
HTAPP-963,HTAPP-963-SMP-4741,Liver,3943,13115712,4.518512546917865,2.6701669211664814,2.401569146571638,3.3152201545546185,2.627142741897865
